,id,latest.cost.avg_net_price,latest.cost.avg_net_price.overall,latest.cost.avg_net_price.consumer.median_by_pred_degree,latest.cost.avg_net_price.consumer.overall_median,latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.cost.booksupply,latest.cost.net_price.by_income_level.0-30000,latest.cost.net_price.by_income_level.30001-48000,latest.cost.net_price.by_income_level.48001-75000,latest.cost.net_price.by_income_level.75001-110000,latest.cost.net_price.by_income_level.110001-plus,latest.cost.net_price.by_income_level.0-48000,latest.cost.net_price.by_income_level.30001-75000,latest.cost.net_price.by_income_level.75000-plus,latest.cost.net_price.consumer.by_income_level.0-48000,latest.cost.net_price.consumer.by_income_level.0-30000,latest.cost.net_price.consumer.by_income_level.30001-48000,latest.cost.net_price.consumer.by_income_level.30001-75000,latest.cost.net_price.consumer.by_income_level.48001-75000,latest.cost.net_price.consumer.by_income_level.750001-111000,latest.cost.net_price.consumer.by_income_level.75000-plus,latest.cost.net_price.consumer.by_income_level.110001-plus,latest.cost.title_iv.all,latest.cost.title_iv.by_income_level.0-30000,latest.cost.title_iv.by_income_level.30001-48000,latest.cost.title_iv.by_income_level.48001-75000,latest.cost.title_iv.by_income_level.75001-110000,latest.cost.title_iv.by_income_level.110001-plus,latest.cost.roomboard.oncampus,latest.cost.roomboard.offcampus,latest.cost.otherexpense.oncampus,latest.cost.otherexpense.offcampus,latest.cost.otherexpense.withfamily
40,446048,18264.0,18264.0,19525.5,15950.5,37423.0,23188.0,23188.0,1260.0,15479.0,14928.0,16140.0,20109.0,20335.0,15304.0,15604.0,20270.0,15304.0,15479.0,14928.0,15604.0,16140.0,20109.0,20270.0,20335.0,198.0,41.0,19.0,24.0,33.0,81.0,12580.0,12580.0,2905.0,2905.0,8245.0
41,446233,16129.0,16129.0,19525.5,15950.5,28103.0,15950.0,15950.0,1080.0,14491.0,15428.0,17892.0,18924.0,18473.0,14769.0,16484.0,18743.0,14769.0,14491.0,15428.0,16484.0,17892.0,18924.0,18743.0,18473.0,43.0,19.0,8.0,6.0,6.0,4.0,5460.0,8250.0,5940.0,7170.0,6380.0
42,446385,37311.0,37311.0,19525.5,15950.5,44437.0,25650.0,25650.0,900.0,33770.0,37392.0,39192.0,37049.0,40292.0,34133.0,38292.0,38670.0,34133.0,33770.0,37392.0,38292.0,39192.0,37049.0,38670.0,40292.0,33.0,9.0,1.0,1.0,11.0,11.0,16578.0,16578.0,4635.0,4635.0,4158.0
43,446394,,,19525.5,15950.5,,5400.0,5400.0,260.0,,,,,,,,,,,,,,,,,,,,,,,,9081.0,,5904.0,4200.0
44,446604,11456.0,11456.0,19525.5,15950.5,20447.0,13500.0,13500.0,600.0,11250.0,11321.0,12217.0,13999.0,,11263.0,11667.0,13999.0,11263.0,11250.0,11321.0,11667.0,12217.0,13999.0,13999.0,,368.0,259.0,59.0,37.0,13.0,0.0,6000.0,3000.0,4000.0,6000.0,6000.0
45,446640,14494.0,14494.0,19525.5,15950.5,33717.0,23900.0,23900.0,1500.0,13939.0,14328.0,17027.0,13896.0,13704.0,14201.0,15152.0,13804.0,14201.0,13939.0,14328.0,15152.0,17027.0,13896.0,13804.0,13704.0,192.0,32.0,66.0,29.0,34.0,31.0,9150.0,9150.0,1000.0,1900.0,1900.0
46,447050,16260.0,16260.0,19525.5,15950.5,20187.0,6480.0,6480.0,1971.0,,,,16260.0,,,,16260.0,,,,,,16260.0,16260.0,,1.0,0.0,0.0,0.0,1.0,0.0,,6319.0,,1884.0,1884.0
47,447421,19397.0,19397.0,19525.5,15950.5,22962.0,14900.0,14900.0,0.0,19606.0,18565.0,,,19595.0,19375.0,18565.0,19595.0,19375.0,19606.0,18565.0,18565.0,,,19595.0,19595.0,10.0,7.0,2.0,0.0,0.0,1.0,,8160.0,,7530.0,6534.0
48,447953,19115.0,19115.0,19525.5,15950.5,26346.0,10604.0,10604.0,900.0,18439.0,17640.0,19887.0,21912.0,25132.0,18283.0,18941.0,22315.0,18283.0,18439.0,17640.0,18941.0,19887.0,21912.0,22315.0,25132.0,60.0,33.0,8.0,11.0,7.0,1.0,7380.0,13293.0,4746.0,4746.0,2637.0
49,448239,,,19525.5,15950.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,449038,24199.0,24199.0,19525.5,15950.5,28284.0,13515.0,13515.0,1350.0,24928.0,22739.0,,,,24199.0,22739.0,,24199.0,24928.0,22739.0,22739.0,,,,,3.0,2.0,1.0,0.0,0.0,0.0,,8976.0,,1200.0,1200.0
51,449339,10563.0,10563.0,19525.5,15950.5,16569.0,7360.0,7360.0,0.0,9660.0,10885.0,13536.0,13777.0,16569.0,9874.0,11849.0,14475.0,9874.0,9660.0,10885.0,11849.0,13536.0,13777.0,14475.0,16569.0,48.0,33.0,7.0,4.0,3.0,1.0,,7608.0,,2392.0,2392.0
52,449348,,,19525.5,15950.5,,4560.0,4560.0,550.0,,,,,,,,,,,,,,,,,,,,,,,,6750.0,,5565.0,3525.0
53,449658,-655.0,-655.0,19525.5,15950.5,12100.0,7200.0,7200.0,400.0,2152.0,-2058.0,,,,-655.0,-2058.0,,-655.0,2152.0,-2058.0,-2058.0,,,,,3.0,1.0,2.0,0.0,0.0,0.0,3800.0,,1100.0,,
54,449870,8968.0,8968.0,19525.5,15950.5,24236.0,13556.0,13556.0,1080.0,8680.0,10122.0,,,,8968.0,10122.0,,8968.0,8680.0,10122.0,10122.0,,,,,5.0,4.0,1.0,0.0,0.0,0.0,8396.0,16580.0,4414.0,6122.0,5644.0
55,449889,,,19525.5,15950.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,449898,21623.0,21623.0,19525.5,15950.5,28397.0,17014.0,17014.0,1500.0,20515.0,25096.0,22792.0,,22256.0,21278.0,23714.0,22256.0,21278.0,20515.0,25096.0,23714.0,22792.0,,22256.0,22256.0,16.0,10.0,2.0,3.0,0.0,1.0,,7108.0,,6562.0,4593.0
57,449931,12165.0,12165.0,19525.5,15950.5,19078.0,11820.0,11820.0,1000.0,12165.0,,,,,12165.0,,,12165.0,12165.0,,,,,,,3.0,3.0,0.0,0.0,0.0,0.0,,4776.0,,3264.0,3264.0
58,450298,,,19525.5,15950.5,,13515.0,13515.0,1350.0,,,,,,,,,,,,,,,,,,,,,,,,8976.0,,1200.0,1200.0
59,450377,23379.0,23379.0,19525.5,15950.5,28284.0,13515.0,13515.0,1350.0,23379.0,,,,,23379.0,,,23379.0,23379.0,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,,8976.0,,1200.0,1200.0
60,450933,11241.0,11241.0,19525.5,15950.5,15491.0,5775.0,5775.0,692.0,10318.0,10957.0,11752.0,13035.0,13490.0,10557.0,11249.0,13145.0,10557.0,10318.0,10957.0,11249.0,11752.0,13035.0,13145.0,13490.0,126.0,52.0,31.0,18.0,19.0,6.0,,7106.0,,4236.0,4236.0
61,451370,19264.0,19264.0,19525.5,15950.5,29460.0,10900.0,10900.0,200.0,,13662.0,24219.0,19910.0,,13662.0,18940.0,19910.0,13662.0,,13662.0,18940.0,24219.0,19910.0,19910.0,,3.0,0.0,1.0,1.0,1.0,0.0,5100.0,14986.0,3800.0,3800.0,5600.0
62,451398,2835.0,2835.0,19525.5,15950.5,18833.0,12250.0,12250.0,200.0,2573.0,1998.0,3531.0,4366.0,,2321.0,2458.0,4366.0,2321.0,2573.0,1998.0,2458.0,3531.0,4366.0,4366.0,,23.0,9.0,7.0,3.0,4.0,0.0,5400.0,14986.0,3800.0,3800.0,5600.0
63,451404,2775.0,2775.0,19525.5,15950.5,16000.0,10200.0,10200.0,200.0,1779.0,6137.0,4134.0,4042.0,,2545.0,5505.0,4042.0,2545.0,1779.0,6137.0,5505.0,4134.0,4042.0,4042.0,,87.0,61.0,13.0,6.0,7.0,0.0,6800.0,18470.0,500.0,3800.0,5600.0
64,451820,25760.0,25760.0,19525.5,15950.5,33114.0,19354.0,19354.0,600.0,23689.0,28782.0,28743.0,,31316.0,25018.0,28772.0,31316.0,25018.0,23689.0,28782.0,28772.0,28743.0,,31316.0,31316.0,27.0,17.0,6.0,2.0,0.0,2.0,,8415.0,,14000.0,14000.0
65,451927,,,19525.5,15950.5,,28400.0,28400.0,500.0,,,,,,,,,,,,,,,,,,,,,,,11020.0,9000.0,500.0,400.0,2000.0
66,453163,,,19525.5,15950.5,,13515.0,13515.0,1350.0,,,,,,,,,,,,,,,,,,,,,,,,8976.0,,1200.0,1200.0
67,453215,23896.0,23896.0,19525.5,15950.5,28284.0,13515.0,13515.0,1350.0,23896.0,,,,,23896.0,,,23896.0,23896.0,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,,8976.0,,1200.0,1200.0
68,454184,35422.0,35422.0,19525.5,15950.5,58695.0,37690.0,37690.0,800.0,34634.0,35919.0,32116.0,33581.0,36916.0,35045.0,33806.0,35940.0,35045.0,34634.0,35919.0,33806.0,32116.0,33581.0,35940.0,36916.0,117.0,17.0,8.0,10.0,24.0,58.0,17264.0,14320.0,4399.0,4399.0,3033.0
69,454227,28605.0,28605.0,19525.5,15950.5,34316.0,20381.0,20381.0,600.0,26162.0,26679.0,30256.0,34316.0,34316.0,26281.0,27573.0,34316.0,26281.0,26162.0,26679.0,27573.0,30256.0,34316.0,34316.0,34316.0,19.0,10.0,3.0,1.0,3.0,2.0,,12420.0,,7020.0,7020.0
70,454236,28585.0,28585.0,19525.5,15950.5,35261.0,19469.0,19469.0,600.0,27907.0,26766.0,28434.0,34247.0,,27716.0,28017.0,34247.0,27716.0,27907.0,26766.0,28017.0,28434.0,34247.0,34247.0,,10.0,5.0,1.0,3.0,1.0,0.0,,12420.0,,7020.0,7020.0
71,454245,29510.0,29510.0,19525.5,15950.5,33769.0,19766.0,19766.0,600.0,28348.0,27574.0,,,33769.0,28090.0,27574.0,33769.0,28090.0,28348.0,27574.0,27574.0,,,33769.0,33769.0,4.0,2.0,1.0,0.0,0.0,1.0,,14516.0,,7020.0,7020.0
72,454582,,,19525.5,15950.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,454689,,,19525.5,15950.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,454829,14215.0,14215.0,19525.5,15950.5,16125.0,5110.0,5110.0,1400.0,10383.0,13779.0,15760.0,,,12270.0,15154.0,,12270.0,10383.0,13779.0,15154.0,15760.0,,,,61.0,12.0,15.0,34.0,0.0,0.0,,10488.0,,1248.0,1600.0
75,454856,,,19525.5,15950.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,455257,17949.0,17949.0,19525.5,15950.5,28660.0,10100.0,10100.0,200.0,17433.0,18883.0,20815.0,,,17883.0,19016.0,,17883.0,17433.0,18883.0,19016.0,20815.0,,,,89.0,60.0,27.0,2.0,0.0,0.0,,14986.0,,3800.0,5600.0
77,455664,,,19525.5,15950.5,,12524.0,12524.0,2097.0,,,,,,,,,,,,,,,,,,,,,,,,18536.0,,7504.0,7504.0
78,455770,26651.0,26651.0,19525.5,15950.5,48917.0,33396.0,33396.0,1000.0,24625.0,19291.0,24454.0,23250.0,31877.0,22201.0,21586.0,30259.0,22201.0,24625.0,19291.0,21586.0,24454.0,23250.0,30259.0,31877.0,31.0,6.0,5.0,4.0,3.0,13.0,10838.0,9176.0,5976.0,5976.0,4184.0
79,456481,23792.0,23792.0,19525.5,15950.5,29670.0,13155.0,13155.0,2110.0,23950.0,23475.0,,,,23792.0,23475.0,,23792.0,23950.0,23475.0,23475.0,,,,,3.0,2.0,1.0,0.0,0.0,0.0,,11484.0,,3131.0,3131.0
80,456490,15863.0,15863.0,19525.5,15950.5,22583.0,12630.0,12630.0,2364.0,15863.0,,,,,15863.0,,,15863.0,15863.0,,,,,,,4.0,4.0,0.0,0.0,0.0,0.0,,10896.0,,5065.0,5065.0
